question_id,question_text,option_a,option_b,option_c,option_d,option_e,correct_answer_id
28,İnteqrasiyanın ən mənfi cəhəti nədən ibarətdir?,Hamısı doğrudur,Prosesə daxil olan subyektlərin milli maraqlarının pozulması,Prosesə daxil olan subyektlərin dini ideoloji dəyərlərinin pozulması,Prosesə daxil olan subyektlərin mədəni və mənəvi dəyərlərinin pozulması,Heç biri doğru deyil,d
29,Demokratikləşmənin üçüncü dalğası''əsərinin müəllifi kimdir?,A.Melvil,R.Koxen,V.Vilson,M.Veber,S.Hantinqon,e
30,"A.Melvilin fikrinə görə, hansı səhvdir?",Azad evin təsnifatında ölkələri qeyri demokratik,Azad evin təsnifatında ölkələri yarımdemokratik,Azad evin təsnifatında ölkələri nisbətən azad,Azad ev''-in təsnifatında ölkələri demokratik və asılı,Azad ev''in təsnifatında ölkələri demokratik və ''azad'',d
31,Aşağıdakılardan hansı beynəlxalq təşkilatların təsnifatının prinsiplərinin sırasına daxil deyil?,Coğrafi prinsiplər,Funksional prinsiplər,Qeyri-funksional prinsiplər,Formalaşma prinsipləri,Üzvlük prinsipləri,d
32,Funksional baxımdan beynəlxalq təşkilatlar neçə yerə ayrılır?,3,4,6,5,2,e
33,"İctimai həyatdakı peşəkar tələblərdən biri də iclaslarda, konfranslarda, rəsmi ziyafətlərdə çıxış etmək bacarığıdır. Çıxış üçün hazırlığı əksər vaxtlarda hansı şöbəyə verilir?",Mühasibat şöbəsinə,Maliyyə şöbəsinə,Marketinq şöbəsinə,Kadrlar şöbəsinə,PR şöbəsinə,e
34,Sərgilərdə ekspozisiyalar nə vaxt uğurlu alına bilər?,Diaqramlardan səmərəli şəkildə istifadə edildikdə,İllüstrasiyalardan səmərəli şəkildə istifadə edildikdə,Fotoşəkillərdən səmərəli şəkildə istifadə edildikdə,Yazılı mətn materiallarında səmərəli şəkildə istidafə edildikdə,Bütün cavablar doğrudur,e
35,Vətəndaşların müraciətləri haqqında AR Qanunu neçənci ildə qıbul edilibdir?,2012,2005,2007,2015,2010,d
36,Vətəndaşların müraciətləri haqqında AR Qanunu ...?,Azərbaycan Respublikası vətəndaşlarının müraciət etmək hüququnun həyata keçirilməsi ilə bağlı münasibətləri tənzimləmir,Azərbaycan Respublikası hər kəsin müraciət etmək hüququnun həyata keçirilməsi ilə bağlı münasibətləri tənzimləmir,Müraciət etmək hüququnun həyata keçirilməsi ilə bağlı münasibətləri tənzimləyir,Azərbaycan Respublikası vətəndaşlarının müraciət etmək hüququnun həyata keçirilməsi ilə bağlı münasibətləri tənzimləyir,Azərbaycan Respublikasında hər kəsin müraciət etmək hüququnun həyata keçirilməsi ilə bağlı münasibətləri tənzimləyir,d
37,Vətəndaşların müraciətləri haqqında AR Qanunu ...?,Bəzi dövlət orqanlarının müraciətlərə baxması qaydasını müəyyən edir,Bələdiyyələrin müraciətlərə baxması qaydasını müəyyən edir,Vəzifəli şəxslərin müraciətlərə baxması qaydasını müəyyən edir,Dövlət orqanlarının müraciətlərə baxması qaydasını müəyyən edir,Bəzi vəzifəli şəxslərin müraciətlərə baxması qaydasını müəyyən edir,d
38,Daxili PR-in uğurlu olması üçün nə tələb olunur?,Media ilə əlaqələri kəsmək,Rəhbərliyi işçilərdən ayırmaq,Rəqiblərin strategiyalarını kopyalamaq,İşçiləri layihələrdən uzaqlaşdırmaq,Şirkətdaxili əməkdaşlığı gücləndirmək,e
39,İşçilərin şirkətlə bağlı narazılıqları necə həll edilir?,Media vasitəsilə şikayət yaymaqla,Heç biri,Narazılıqları gizlətməklə,İşçilərə cəza tətbiq etməklə,Anonim anketlərin nəticələrini təhlil etməklə,e
40,PR-in məqsədi işçilərlə əlaqədə hansı üstünlükdür?,İşçiləri tənqid etmək,Rəhbərliklə əlaqəni məhdudlaşdırmaq,İşçiləri daha çox işə cəlb etmək,Müsbət iş mühitini qorumaq,Yalnız müştəri əlaqələrini artırmaq,d
41,PR vasitəsilə işçilər haqqında məlumat necə toplanır?,Sosial şəbəkələrdə müşahidə apararaq,Gizli müşahidələr yolu ilə,Yalnız rəhbərliyə verilən hesabatlar yolu ilə,Anonim anketlər vasitəsilə,Heç bir məlumat toplanmır,d
42,Korporativ PR hansı fəaliyyətə daxildir?,Yalnız məhsul reklamına,Şirkət strategiyalarını gizlətməyə,Fərdi müştəri analitikası aparmağa,Əməkdaşların məmnunluğuna fokuslanmağa,İşçilərin motivasiyasını azaltmağa,d
43,Kollektivdə PR-in rolu hansı tədbirlər vasitəsilə artırılır?,İşçiləri mətbuatdan uzaqlaşdırmaqla,Rəhbərliyi izolyasiya etməklə,Təşkilatda rəqabəti artırmaqla,Şirkətdaxili tədbirləri məhdudlaşdırmaqla,Qeyri-rəsmi naharların təşkili ilə,e
44,Kollektivdə PR-in əsas elementi nədir?,İşçilərin rəhbərliyə olan etibarını artırmaq,İşçilərin fəaliyyətindən narazılığı artırmaq,İşçilərin bir-birilə rəqabətini gücləndirmək,Media ilə əməkdaşlığı gücləndirmək,Yalnız fərdi işçi təhlilləri aparmaq,a
45,Anonim sorğuların məqsədi nədir?,İşçiləri işdən uzaqlaşdırmaq,Şirkətin reklamını təşkil etmək,Təşkilatı tənqid etmək,Yalnız rəhbərliyi tərifləmək,Əməkdaşların narazılıqlarını öyrənmək,e
46,Kollektivlə PR hansı vasitə ilə aparılmamalıdır?,Anket sorğuları ilə,Korporativ layihələr ilə,Tədbirlərin keçirilməsi ilə,İşçilərin narazılıqlarını gizlətməklə,Rəhbərliyin işçilərlə görüşləri ilə,d
47,Kollektiv daxilində PR-in əsas məqsədi nədir?,Yalnız rəhbərlik üçün tədbirlər təşkil etmək,Təşkilatın imicini xaricdə formalaşdırmaq,Məhsul satışını artırmaq,İşçilər arasında loyal əhval-ruhiyyə yaratmaq,Kollektivdə rəqabəti artırmaq,d
48,Fasilitasiya- nədir?,Dəvət və görüş,Mətbuat konfransı hissəsi,Qeyri-rəsmi ünsiyyət,Neytral və qərar qəbul etmək hüququ olmayan mütəxəssisin köməyi,Vida mərasimi,d
49,Reportyor hesab olunur?,Jurnalistlər,Potensial istehlakçılar,İnvestorlar,"Qrupun işlərinin gedişini və qəbul edilmiş qərarları cəmləşdirən, açıq şəkildə elan və şərh edən şəxs",Alıcılar,d
50,Hansı vaxtdan başlayaraq beynelxalq munasibətlər qloballaşmağa başladı?,XVIII əsrdən,XIX əsrdən,XVI əsrdən,XX əsrdən,XVII əsrdən,d
51,Versal sülhünün hazırlanması və qəbul olunmasına dövlətlər 4 qrupa bölünməklə cəlb olunmuşdur. Hansı cavab yanlışdır?,Versalda hüququ təmsil olunan dövlətlər,Müharibə gedişində almaniya ilə diplomatik əlaqələri kesmiş dövlətlər,Neytral dövlətlər,Versalda hüququ təmsil olunmayan dövlətlər,Aparıcı dövlətlər,d
52,Millətlər liqasının üzvü olan dövlətlər nəyə çalışırdılar? Hansı cavab yalnışdır?,Dövlətlərin ərazilərinə kənar müdaxilənin yolverilməzliyi,Dünyada sülhün və təhlükəsizliyin qorunması,Mübahisəli məsələlərin danışıqlar yolu ilə həll olunması,Ətraf mühitin qorunması və mühafizəsi,Qarşılıqlı faydalı əməkdaşlığın yaradılması,d
53,Versal İctimai Əlaqələr sisteminin son səhifələri nə zaman yazılıbdır?,1934,1987,1976,1922,1965,d
54,Cümləni tamamlayın. Şəxsiyyətin bitərəf olması barədə məlumat ... ?,Yalnız nəzərdə tutulmuş hallarda dövlət orqanlarına təqdim edilməlidir,Qanunla nəzərdə tutulmuş hallarda dövlət orqanlarına təqdim edilməlidir,Yalnız qanunla nəzərdə tutulmamış hallarda dövlət orqanlarına təqdim edilməlidir,Qanunla nəzərdə tutulmuş bəzi hallarda dövlət orqanlarına təqdim edilməlidir,Yalnız qanunla nəzərdə tutulmuş hallarda dövlət orqanlarına təqdim edilməlidir,d
55,Cümləni tamamlayın. Şəxsiyyət haqqında məlumat ... ?,"Qanunla müəyyən edilmiş qaydada onun özü tərəfindən toplanır, işlənir və mühafizə olunur","Müəyyən edilmiş qaydada toplanır, işlənir və mühafizə olunur","Qanunla müəyyən edilmiş qaydada yazılır, toplanır, işlənir və mühafizə olunur","Müəyyən edilmiş qaydada yazılır, toplanır, işlənir və mühafizə olunur","Qanunla müəyyən edilmiş qaydada toplanır, işlənir və mühafizə olunur",e
56,"Cümləni tamamlayın. Şəxsin onun xəbəri olmadan və ya etirazına baxmayaraq kütləvi informasiya vasitələrinin nümayəndələri və başqa şəxslər tərəfindən izlənilməsi, video və foto çəkilişinə, səs yazısına və digər bu cür hərəkətlərə məruz qalması ?.",Məsuliyyətə səbəb olur,"Əməliyyat-axtarış tədbirləri keçirilən hallar istisna olmamaqla, qanunvericiliklə müəyyən edilmiş məsuliyyətə səbəb olur","Əməliyyat-axtarış tədbirləri keçirilən hallar istisna olmaqla, qanunvericiliklə müəyyən edilmiş məsuliyyətə səbəb olmur","Əməliyyat-axtarış tədbirləri keçirilən hallar istisna olmaqla, qanunvericiliklə müəyyən edilmiş məsuliyyətə səbəb olur",Məsuliyyətə səbəb olmur,d
57,Mətbuatda aşağıdakılardan hansı fotodan istifadə olunur?,Arxiv,Reklam və ya plakatlar,Hamısı,"Hesabatların, broşüraların, çoxtirajlı nəşrlərin illüstrasiyası",Qəzet məqalələrinin və ya texniki nəşrlərin illüstrasiyası,c
58,Mətbuat müxtəlif münasibətlərlə fotoreportajlardan tez-tez istifadə edir. Belə şəkillər aşağıdakılardan hansı tələbə cavab verməlidir.?,Müvafiq mətnə malik olmalıdır,Hadisəni tam təsvir etməlidir,İnformasiya daşımalıdır,Bütün cavablar doğrudur,"Diqqəti cəlb etməli, maraqlı olmalıdır",d
59,PR-nin müxtəlif məqsədlərlə istifadə etdiyi fotoşəkillərin müəllif hüquqlarına uyğun deyildir?,Fotoqrafdan xüsusi alınmış fotoşəklin müəlliflik hüququ alıcının ixtiyarına keçir,Kütləvi informasiya vasitələrinə verilmiş fotoşəkillər pulsuz nəşr oluna bilər,Müştəriyə təklif olunan və müştərinin satın aldığı fotoşəklin müəlliflik hüququ fotoqrafda qalır,"Əgər başqa bir razılaşma şərti yoxdursa, neqativlər fotoqrafda qalı",Kütləvi informasiya vasitələrinə verilmiş fotoşəkillər heç vaxt pulsuz nəşr oluna bilməz,e
60,"İstər sərgi olsun, istər yeni qurğunun istifadəyə verilməsi, istərsə də konfrans sizin vacib saydığınız hadisənin keyfiyyətlə işıqlandırılmasına nail olmağın ən yaxşı üsulu hesab olunur?",Fotoagentliklərin və qəzet fotoreportyorlarının dəvət olunması,Heç biri,Keyfiyyət,Təşkilatçılıq,Reklam,a
61,"Kitabların və prospektlərin hazırlanması zamanı foto çəkilişlərini əvvəlcədən planlaşdırmaq və hər hansı hadisənin işıqlandırılmasına nisbətən daha yüksək keyfiyyətli fotolar çəkilməsinə nail olmaq lazımdır, çünki hadisələrin işıqlandırılmasında birinci yeri tutur?",Gömürük rüsumları,Könüllü məhdudiyyətlər,Lisenziya,İdxal kvotası,Operativlik,e
62,İnformasiya əldə etmək haqqında AR Qanunu neçənci ildə qıbul edilibdir?,2002,2004,2001,2005,2003,d
63,Aşağıdakılardan hansı İnformasiya əldə etmək haqqında Qanunun məqsədləri sırasıdadır?,Açıq cəmiyyət və demokratik hüquqi dövlət prinsipləri,"Açıq cəmiyyət və azad, demokratik hüquqi dövlət prinsipləri",Açıq hökümət və demokratik hüquqi dövlət prinsipləri,Açıq cəmiyyət və hüquqi dövlət prinsipləri,Açıq və şəffaf cəmiyyət və demokratik hüquqi dövlət prinsipləri,a
64,Azərbaycan Respublikasında informasiyanın əldə olunması ...?,Məxvidir,Sərbəstdir,Azaddır,Gizlidir,Qeyri-müəyyəndir,c
65,"Hər kəs özü birbaşa və ya nümayəndəsi vasitəsilə informasiya sahibinə müraciət etmək, informasiyanın növünü və əldə etmə formasını ...?",Müəyyən etmək hüququna malikdir,Qorumaq hüququna malikdir,Formalaşdırmaq hüququna malikdir,Seçmək hüququna malikdir,Seçmək hüququna malik deyil,d
66,İctimaiyyətlə əlaqələr prosesində düzgün monitorinq nəyi təmin edir?,Şirkətin media ilə əlaqəsini dayandırmağı,Yalnız daxili əlaqələrin inkişafını,Böhran vəziyyətlərinin gizlədilməsini,Mesajın çatdırılma effektivliyini,Mesajın yayımlanmasını təxirə salmağı,d
67,İctimaiyyətlə əlaqələrdə hansı media vasitələri daha effektlidir?,Təsadüfi seçilmiş media platformaları,Heç biri,Sosial media olmadan,Yalnız ənənəvi KİV,Hədəf qrupuna uyğun seçilmiş media kanalları,e
68,Məqsədə uyğun PR mesajları necə hazırlanmalıdır?,Auditoriyaya uyğun olmayan şəkildə hazırlanmalıdır,Yalnız təşkilatın mənfəətini vurğulamalıdır,"Mövcud vəziyyəti nəzərə alaraq, real və qiymətləndirilə biləcək tərzdə",Reklam məqsədilə genişləndirilməlidir,Şirkət rəqabətindən kənar olmalıdır,c
69,Hədəf kütləsi hansı amilə görə seçilməlidir?,Yalnız coğrafi mövqeləri,Onların maraq dairəsi və ehtiyacları,Təhsil səviyyəsi,Yalnız yaşı və gəlir səviyyəsi,Media istehlakı nəzərə alınmamalıdır,b
70,Planlama prosesində ən vacib mərhələ hansıdır?,Rəqiblərin kampaniyalarını izləmək,Yalnız daxili sorğulara üstünlük vermək,Böhran vəziyyətlərini gizlətmək,Hədəf qruplarının təhlili,Media şəbəkələrini bağlamaq,d
71,İctimaiyyətə verilən mesajlar hansı xüsusiyyətlərə malik olmalıdır?,Yalnız mənfi cəhətləri vurğulamalıdır,Aydın və konkret olmalıdır,Yalnız daxili auditoriyaya yönəlməlidir,Hədəf kütləsindən gizli saxlanılmalıdır,Məqsədsiz hazırlanmalıdır,b
72,İctimaiyyətlə əlaqələrin effektivliyini artırmaq üçün ilk addım nədir?,Hədəf kütləsi barədə araşdırmaları dayandırmaq,Problemin təhlili və qiymətləndirilməsi,Yalnız daxili personalın analizini aparmaq,Məhsulun qiymət siyasətini dəyişmək,Media əlaqələrini məhdudlaşdırmaq,b
73,Aşağıdakı hansı halda dövlət orqanları informasiya sahibi hesab edilir?,İnformasiya hüququnu təmin etmək üçün Qanunla müəyyənləşdirilən dövlət orqanları,İnformasiya hüququnu təmin etmək üçün fərdi qaydada müəyyənləşdirilən dövlət orqanları,İnformasiya əldə etmək hüququnu təmin etmək üçün fərdi qaydada müəyyənləşdirilən dövlət orqanları,İnformasiya əldə etmək hüququnu təmin etmək üçün Qanunla müəyyənləşdirilən dövlət orqanları,Qanunla müəyyənləşdirilən dövlət orqanları,d
74,Aşağıdakı hansı halda bələdiyyələr informasiya sahibi hesab edilir?,İnformasiya əldə etmək hüququnu təmin etmək üçün fərdi qaydada müəyyənləşdirilən bələdiyyələr,Qanunla müəyyənləşdirilən bəzibələdiyyələr,İnformasiya hüququnu təmin etmək üçün Qanunla müəyyənləşdirilən bələdiyyələr,İnformasiya əldə etmək hüququnu təmin etmək üçün Qanunla müəyyənləşdirilən bələdiyyələr,İnformasiya hüququnu təmin etmək üçün fərdi qaydada müəyyənləşdirilən bələdiyyələr,d
75,Sərgilər üzrə iş aid deyildir?,Materialların toplanması,Sərginin açılmasınadək olan müddətdən ştatların müəyyənləşdirilməsi və onun işinə rəhbərlik,Hansı sərgidə və hansı şəkildə iştirak etmək barədə qərarın çıxarılması,Stendin hazırlanmasına ehtiyac olmur,Stendin hazırlanması,d
76,Sərgilərdə nələrə diqqət edilməlidir.Aşağıdakı variantlardan hansı uyğun deyildir?,Hətta tağ şəkilli stendlər də tamamilə cəzbedici görünə bilər,"Əgər stend birinci mərtəbədə yerləşirsə və balkondan, yaxud ikinci mərtəbədən görünürsə, onun yuxandan görünüşünün qeydinə qalmaq lazımdır, çox vaxt yuxarıdan görünüş xoşagəlməz təəssürat yaradır","Hamı tərəfindən qəbul olunmuşdur ki, ekspozisiyanın həcmi böyük, mətn materialı isə kəmiyyətcə az olmalıdır",Bir sıra ekspozisiyaların layihələşdirilməsi zamanı əməkdaşların üst geyimlərini saxlamaları üçün yer nəzərə alınmır,Ekspozisiyanı əlavə işıqla təchiz etmək heç bir zaman zəruri hesab olunmur,e
77,Sərgilərdə qrafikin tutulmasına aşağıdakılardan hansı aiddir?,Nəqliyyat,Sığorta,"Telefonlar, stendlərin yır-yığışı",Hamısı,Əməkdaşlarla iş,d
78,"Cümləni tamamlayın. Şəxsiyyət haqqında sənədləşdirilmiş məlumat mənbəyi dedikdə, ... məlumatlar başa düşülür?",Onun tərəfindən imzalanmış sənədlər və öz səlahiyyətləri çərçivəsində orqanlar tərəfindən şəxsiyyət haqqında toplanmış,Öz səlahiyyətləri çərçivəsində orqanlar tərəfindən şəxsiyyət haqqında toplanmış,"Onun adına verilmiş, onun tərəfindən imzalanmış şəkilli sənədlər və öz səlahiyyətləri çərçivəsində orqanlar tərəfindən şəxsiyyət haqqında toplanmış",Onun adına verilmiş və tərəfindən imzalanmış sənədlər və orqanlar tərəfindən şəxsiyyət haqqında toplanmış,"Onun adına verilmiş, onun tərəfindən imzalanmış sənədlər və öz səlahiyyətləri çərçivəsində orqanlar tərəfindən şəxsiyyət haqqında toplanmış",e
79,Aşağıdakı hansı halda kütləvi informasiya vasitələrindən istifadə olunmasına yol verilmir ... ?,Azərbaycan Respublikasının qanunvericiliyi ilə dənizdə çəkilişlər aparmaq və onları çap etdirmək,Azərbaycan Respublikasının qanunvericiliyi ilə vəzifəli şəxslərdən müsahibə almaq,Azərbaycan Respublikasının qanunvericiliyi ilə vəzifəli şəxsləri tənqid etmək,Azərbaycan Respublikasının qanunvericiliyi ilə qorunan sirləri yaymaq,Azərbaycan Respublikasının qanunvericiliyi ilə milli-mənəvi dəyərləri təbliğ etmək,d
80,Aşağıdakı hansı halda kütləvi informasiya vasitələrindən istifadə olunmasına yol verilmir ... ?,Dənizdə çəkilişlər aparmaq və onları yaymaq,Milli-mənəvi dəyərləri təbliğ etmək,Vəzifəli şəxsləri təqlid etmək,Dövlətin bütövlüyünə qəsd etmək,Vəzifəli şəxslər barədə çəkilişlər aparmaq,d
81,Mətbuata informasiya ötürülməsinin ən geniş yayılmış üsulu hesab olunur?,Anket toplamaq,Sorğu,Respontentlərin seçilməsi,Press-relizdir,İnformasiyanın təqdim edilməsi,d
82,İctimaiyətlə əlaqənin təşkili üzrə tədbirlərin həyata keçirilməsidir,Məhsul nümunələrinin paylanması və yayılması,Vasitəçilərin xidmətindən istifadə etməklə məhsul satışının həyata keçirilməsi,Kompyuter şəbəkəsindən istifadə etməklə ikitərəfli qarşılıqlı əlaqənin yaradılması,"Məqalə, jurnal formada çap materialının hazırlanması",Aparatlarından istifadə etməklə materialların göndərilməsi,d
83,Aşağıdakı hansı halda kütləvi informasiya vasitələrindən istifadə olunmasına yol verilmir.?,Mötəbər mənbə adı altında vətəndaşların şərəf və ləyaqətini alçaldan yalan yazılar çap etdirmək,Mötəbər mənbə adı altında hər kəsdən müsahibə alamq,Vəzifəli şəxsləri tənqid etmək,Mötəbər mənbə adı altında vəzifəli şəxslərdən alınan müsahibəni çap etdirmək,Mötəbər mənbə adı altında sosial sorğular aparmaq,a
84,Xüsusi mətbuat xəritəsində aşağıdakılardan hansı məlumatları qeyd etmək lazımdır?,KİV-in real tirajı və auditoriyanın tərkibi (radio və televiziya üçün dinləyicilərin və tamaşaçıların kəmiyyət və keyfiyyətcə əhatə olunması),"KİV-in sahələr (siyasət, iqtisadiyyat, hüquq, mədəniyyət, səhiyyə, təhsil və s.), sahiblər və ya nüfuz qrupları (hökumət KİV-i, bu və ya başqa media-holdinqə məxsus KİV və s.), iqtidara münasibət (konformist, müxalif, müstəqil və s.) üzrə ixtisaslaşma siyahıları",Prinsipcə işləmək istədiyiniz KİV-in baza siyahısı,Bütün variantlar doğrudur,Nəşrlərin və proqramların dövrilik cədvəli,d
