question_id,question_text,option_a,option_b,option_c,option_d,option_e,correct_answer_id
10,"Hansı qəzet qrupu əsasən biznes problemləri, valyuta məzənnələri, məhsullar və qiymətləri əhatə edir?",Yerli qəzet,Reklam­kommersiya qəzetləri,Məlumatlar qəzeti,Kommersiya qəzeti,Siyasi qəzet,d
11,"Hansı üsul məhsul və şirkət haqqında geniş məlumat verməklə həm satışa, həm də rəqiblərlə tanış olmağa imkan yaradır?",Televiziya reklamları,Sərgilər,Şifahi təqdimatlar,Radio reklamları,Birbaşa poçt,b
12,Hansı reklam yayım vasitəsi məhsul satışında səmərəli nəticə əldə etməyə imkan verən kataloqların çap və ya elektron formada təqdim edilməsini nəzərdə tutur?,Televiziya reklamları,Vitrin reklamları,Sərgilər,Radio reklamları,Birbaşa poçt göndərmələri,e
13,Uyğunluğu müəyyən edin. 1.Radio verilişləri 2.Məqalələr və kataloqlar 3.Reportajlar və reklam dipozitivləri a.Qrafik reklam vasitələri b. Vizual reklam c.Akustik reklam vasitələri,"1­b, 2­c, 3­a.","1­b, 2­a, 3­c.","1­a, 2­c, 3­b.","1­c, 2­b, 3­a.","1­c, 2­a, 3­b.",e
14,"Uyğunluğu müəyyən edin. 1.Vitrin reklamları 2.Əmtəə nümunələri 3.Uşaq bayramları, dəbin nümayişi a. Dekorativ reklam vasitələri b. Predmetlər üzrə reklam c. Reklam tədbirləri","1­c, 2­b, 3­a.","1­b, 2­c, 3­a.","1­c, 2­a, 3­b.","1­a, 2­b, 3­c.","1­a, 2­c, 3­b.",d
15,Uyğunluğu müəyyən et. 1.Televiziya reklam rolikləri 2.Şifahi təqdimatlar 3.Bukletlər və prospektlər a.Akustik reklam vasitələri b.Qrafik reklam vasitələri c.Vizual reklam,"1­a, 2­c, 3­b.","1­b, 2­c, 3­a.","1­c, 2­a, 3­b.","1­c, 2­b, 3­a.","1­a, 2­b, 3­c.",c
16,"Firma məhsulunu nümayiş etdirmək üçün uşaq bayramları, dəbin nümayişləri və reklam təqdimatları təşkil edir. Bu tədbirlər hansı yayım vasitələri qrupuna aiddir?",Akustik reklam,Qrafik reklam,Predmetlər üzrə reklam,Vizual reklam,Reklam tədbirləri,e
17,"Bir firma müştərilərə reklam hədiyyələri və suvenirlər paylayır, həmçinin məhsul nümunələri təqdim edir. Bu yayım vasitələri hansı qrupda yer alır?",Akustik reklam,Qrafik reklam,Vizual reklam,Predmetlər üzrə reklam,Dekorativ reklam,d
18,"Firma reklamı həm məhsulun tanıdılması, həm də istehlakçılara faydalı məlumat verilməsi üçün internetdə, televiziyada və reportajlarda yayımlayır. Bu yayım vasitələri hansı qrupa daxildir?",Predmetlər üzrə reklam,Dekorativ reklam,Akustik reklam,Qrafik reklam,Vizual reklam,e
19,"Bir şirkət məhsulunu təqdim etmək üçün: kataloqlar, prospektlər, bukletlər və xüsusi qəzet nəşrlərindən istifadə edir. Bu yayım vasitələri hansı qrupa aiddir?",Akustik reklam vasitələri,Predmetlər üzrə reklam vasitələri,Dekorativ reklam vasitələri,Qrafik reklam vasitələri,Vizual reklam vasitələri,d
20,"Bazarda tələbat artıb, lakin məhsulun satış həcmi aşağı düşür. Marketinq komandası optimal tələbi mövcud səviyyədə saxlamaq üçün reklam vasitələrindən istifadə edir. Bu hansı marketinq üsuluna aid edilir?",Re­marketinq,Demarketinq,Əks təsir marketinqi,Stimullaşdırıcı marketinq,Sinxromarketinq,e
21,Firma reklam vasitəsilə bazarda irrasional tələbi aradan qaldırmaq istəyir. Bu hansı marketinq növünə aiddir?,Sinxromarketinq,Dəstəkləyici marketinq,Stimullaşdırıcı marketinq,Re­marketinq,Demarketinq,e
22,"Bir firma yeni məhsul çıxarır. Məhsul bazara uyğundur, amma satışlar aşağıdır. Marketinq komandası qərara alır ki, reklam vasitəsilə potensial tələbi reallaşdırsın. Bu hansı marketinq kommunikasiya prinsipinə uyğundur?",Demarketinq,Əks təsir marketinqi,Dəstəkləyici marketinq,Stimullaşdırıcı marketinq,Sinxromarketinq,d
23,Marketinq kommunikasiya sistemi firmaya istehlakçılar və digər auditoriyalarla əks əlaqə yaratmağa imkan verir.Bu hansı əsas məqsədə xidmət edir?,Məhsulu istehsal etmə,Rəqib firmaları izləmək,Məhsulun texniki xüsusiyyətlərini dəyişmək,İstehlakçı ilə əlaqə və tələbat yaratmaq,Qiymət təyini,d
24,Reklam agentlikləri uşaqların reaksiyalarını videoya çəkir və analiz edir. Bu strategiyanın məqsədi nədir?,Uşaqları qorumaq,Valideynləri məlumatlandırmaq,Reklamın emosional təsirini öyrənmək və gücləndirmək,Məktəb proqramını dəyişmək,Reklamın sərfəli olub­olmadığını yoxlamaq,c
25,"Valideynlərin maddi imkanı olmadıqda belə, uşaqlarda reklamlardan doğan arzular formalaşır. Bu vəziyyətin əsas riski nədir?",Maariflənmə,İqtisadi artım,Reklamın zəifliyi,Uşaqların müstəqilliyi,Ailədaxili psixoloji gərginlik,c
26,"“Biz reklam ideyasını hazırlamırıq, yalnız harada və nə vaxt yayımlanacağını müəyyən edirik.” Bu ifadə hansı agentliyə aiddir?",Kreativ reklam agentliyi,Dizayn studiyası,Media firması,Xüsusiləşmiş agentlik,PR agentliyi,c
27,Aşağıdakılardan hansı xüsusiləşmiş agentliyə aiddir?,Bütün reklam növlərini hazırlayan agentlik,Reklam ideyası və dizayn edən agentlik,PR və imic yaradan şirkət,Televiziya üçün video çəkən studiya,Yalnız internet reklamı ilə məşğul olan agentlik,e
28,"Reklam çarxı artıq hazırdır. Şirkət istəyir ki, reklam: televiziya, xəbər saytları, sosial şəbəkələr üzrə ən aşağı qiymətlə və düzgün vaxtda yayımlansın. Bu işi kim görməlidir?",Dizayn studiyası,Müştərinin özü,Kreativ reklam agentliyi,Xüsusiləşmiş agentlik,Media firması,e
29,Aşağıdakılardan hansı kreativ reklam agentliyinin əsas funksiyasıdır?,Reklam üçün endirimli media paketləri almaq,Reklamın metroda yerləşdirilməsi,Reklam vergisini hesablamaq,Reklam qanunvericiliyinə nəzarət etmək,Video­çarx ideyasını və mətnini hazırlamaq,e
30,"Bir məhsul üçün: 1.ideya hazırlanıb və video çəkilib,",,,,,,
31,Bir şirkət yalnız metro vaqonları və stansiyalarında reklam yerləşdirmək istəyir və başqa reklam növləri maraqlı deyil.Bu halda hansı agentlik daha uyğundur?,Marketinq şöbəsi,Kreativ reklam agentliyi,Media firması,Xüsusiləşmiş agentlik,PR agentliyi,d
32,"Böyük bir şirkət reklam çarxını artıq hazırlayıb, lakin onun televiziyada, saytlarda və qəzetlərdə ən sərfəli qiymətlə yerləşdirilməsini istəyir. Bu işi hansı qurum daha səmərəli görər?",Kreativ reklam agentliyi,Reklam sifarişçisi özü,Dizayn studiyası,Media firması,Xüsusiləşmiş agentlik,d
33,"Bir şirkət yeni məhsulu üçün ideya, sloqan və televiziya çarxı hazırlatmaq istəyir. Reklamın məzmunu hələ mövcud deyil. Bu halda şirkət hansı reklam agentliyinə müraciət etməlidir?",Xüsusiləşmiş agentlik,Yayım şirkəti,PR təşkilatı,Kreativ reklam agentliyi,Media firması,d
34,Dərman reklamı aşağıdakılardan hansı xəstəliklər üzrə birbaşa tövsiyə verə bilməz?,"Vitamin çatışmazlığı, Sümük ağrıları, Qrip profilaktikası, Vitamin çatışmazlığı","Sümük ağrıları, Qrip profilaktikası, Vitamin çatışmazlığı, onkoloji xəstəliklər, SPİD","Yüngül soyuqdəymə, Qrip profilaktikası, SPİD, psixi xəstəliklər","Qrip profilaktikası, Vitamin çatışmazlığı, Vərəm, onkoloji xəstəliklər","Vərəm, onkoloji xəstəliklər, SPİD, diabet, psixi xəstəliklər",e
35,Reklam BQƏ­ni (Bioloji Aktiv Qida Əlavələri) hansı şəkildə təqdim edə bilməz?,Normal qida ilə birgə istifadə üçün,Satış məlumatı verən reklam,Vitamin əlavəsi kimi,Qida tərkibini açıqlayan məhsul kimi,Hər xəstəliyə qalib gələn müalicəvi vasitə kimi,e
36,Hansı dərman reklamı yanaşması qanuni hesab olunur?,Həkimləri təsvir etmək,Bioloji əlavələrin dərman kimi təqdimatı,Özünü müalicə kimi təqdim etmək,Xəstələrin təşəkkür mesajlarını göstərmək,Resept üzrə qeydiyyata alınmış dərmanları göstərmək,e
37,Dərman reklamı insanlarda hansı təəssüratı yaratmamalıdır?,Məhsulun istifadəsini öyrənmək,Promosyonları izləmək,Satış yerlərini tapmaq,Həkimə gərəksiz müraciət,Qiymətləri müqayisə etmək,d
38,Bioloji Aktiv Qida Əlavələri (BQƏ) reklamında hansı üsul qadağan olunub?,Vitamin tərkibini göstərmək,Promosyon kampaniyalarını təqdim etmək,Satış yerlərini açıqlamaq,Əhalini normal qidadan uzaqlaşdırmaq,Satış qiymətini göstərmək,d
39,Dərman reklamı hansı yaş qrupuna ünvanlana bilməz?,14 yaşdan kiçik uşaqlar,35–50 yaş,18–25 yaş,50 yaşdan yuxarı,25–35 yaş,a
40,Avropada dərman reklamında hansı obrazın istifadə olunması qadağandır?,Məhsulun qablaşdırması,Brendin loqosu,Təbiət mənzərələri,Həkim və ya əczaçı obrazı,Qrafik simvollar,d
41,"Qanunvericiliyə əsasən, spirtli içkilərin reklamına kim nəzarət edir?",Fərdi şirkətlər,Radio stansiyaları,İctimai təşkilatlar,Xarici agentliklər,Dövlət orqanları,e
42,Spirtli içkilərin reklamına dair qanun qəbul edilməmişdən əvvəl əsas problem nə idi?,Brendin tanınmamasında problemlər,Kütləvi istehlakın olmaması,Rəqabətin artması,Auditoriyanın zərər görməsi və mənəvi təsir,Məhsulun keyfiyyətinin aşağı olması,d
43,"Pivə brendləri “Qartal”, “Üç ayı”, “Çapar” reklamlarında hansı məhdudiyyətə məruz qalır?",Məhsulun texniki məlumatlarını göstərmək,Sosial media paylaşmaq,Promosyon vermək,Heyvan və insan simvollarının istifadəsi qadağan edilib,Satış qiymətini açıqlamaq,d
44,Spirtli içkilərin reklamına icazə verilən yerlər hansı qrup üçün nəzərdə tutulub?,Xarici agentliklər və Kütləvi tədbirlər,Kütləvi tədbirlər,Fərdi şəxslər və Xarici agentliklər,Radio stansiyalar və Satışı icra edən təşkilatlar,Satışı icra edən təşkilatlar və istehsalçılar,e
45,Rusiya Dövlət Duması pivə reklamını gənclərə təsirini azaltmaq üçün hansı tədbiri qəbul etdi?,Yeni brendləri təqdim etmək,Məhsulu hədiyyə olaraq payladı,Pivənin qiymətini aşağı saldı və reklam vasitələrini azaltdı,Satış yerlərini artırdı və Reklam müddətini uzatdı,İnsan və heyvan surətlərinin istifadəsini qadağan etdi,e
46,Hansı ölkələrdə spirtli içkilərin reklamı xüsusi dini və mədəni baxımdan fərqli tənzimlənir?,Müsəlman və katolik ölkələri,Asiya və müsəlman ölkələri,Avropa ölkələri və ABŞ,"ABŞ, Avropa, Yaponiya",ABŞ VƏ Yaponiya,a
47,Tütün məhsullarının reklamı ilə bağlı məhdudiyyətlərin məqsədi nədir?,Məhsulun bazarda tanınmasını artırmaq,Rəqibləri aşağılamaq,Yeni brendləri təqdim etmək,İctimai və fərdi sağlamlığa zərərin qarşısını almaq,Satışı stimullaşdırmaq,d
48,Spirtli içkilərin reklamına qarşı qanuni məhdudiyyətlərin əsas səbəbi nədir?,Satışın artmasını təmin etmək və məhsula tələbatı formalaşdırmaq,Brendin imicini artırmaq və müştəri sədaqətinə nail olmaq,Məhsulun keyfiyyətini göstərmək,Rəqabət üstünlüyü qazanmaq,Gənclərə və az mühafizə olunan qruplara mənfi təsirin qarşısını almaq,e
49,Pivə reklamında hansı üsuldan istifadə etmək qadağandır?,Məhsulun qiymətini göstərmək,Promosyon kampaniyalarını göstərmək,Məhsulun texniki xüsusiyyətlərini izah etmək,İnsan və heyvan surətlərini göstərmək,Satış yerlərini təqdim etmək,d
50,Spirtli içkilərin reklamı televiziyada hansı vaxtdan sonra yayımlana bilər?,Hər hansı vaxtda,yayım etmək qadağandır,Günorta saatlarında,Saat 23:00­dan sonra,Səhər saat 06:00­dan əvvəl,d
51,Spirtli içkilərin reklamı ilə bağlı aşağıdakılardan hansı düzgün ifadədir?,Spirtli içkilərin reklamı bütün ölkələrdə eyni şəkildə və heç bir məhdudiyyət olmadan yayıla bilər.,"Hər bir ölkədə spirtli içkilərin reklamı üçün xüsusi icazə tələb olunmur, yalnız etik standartlar nəzərə alınır.","Spirtli içkilərin reklamı yalnız internetdə və sosial şəbəkələrdə həyata keçirilir, televiziya və radio qadağandır.",Dövlət spirtli içkilərin reklamını yalnız həmin məhsulları istehsal edən təşkilatlara icazə verir və bəzi kanallarda sərbəst yayılmasını məhdudlaşdırır.,Reklamda gənclərə təsir etməyən bütün spirtli içkilərə tam sərbəstlik verilir.,d
52,Hansı reklam növü ayrı­ayrı şəxslər tərəfindən verilir.,Topdan və pərakəndə ticarətçilərin reklamı,Fərdi şəxslər reklamı,Hökumət və ictimai təşkilatlar reklamı,İstehsalçı reklamı,Mətbuat reklamı,b
53,Aşağıdakılardan hansı reklam növü məhsuldan daha çox “harada və necə alına biləcəyi”ni vurğulayır?,İstehsalçı reklamı,Fərdi şəxslər reklamı,Mətbuat reklamı,Hökumət və ictimai təşkilatlar reklamı,Topdan və pərakəndə ticarətçilərin reklamı,e
54,Şirkət daimi nümayiş salonu yaradaraq məhsullarını və nümunələrini il boyu müştərilərə göstərir. Hansı sərgi növüdür?,Daimi ekspozisiya,İxtisaslaşdırılmış sərgi,Beynəlxalq sərgi,Topdansatış yarmarkası,Milli sərgi,a
55,Bir şirkət yalnız avtomobil sahəsindəki yeni modelləri nümayiş etdirmək üçün tədbir təşkil edir. Bu sərgi növü hansıdır?,Milli sərgi,Daimi ekspozisiya,Beynəlxalq sərgi,Topdansatış yarmarkası,İxtisaslaşdırılmış sərgi,e
56,"Bir şəhərdə bayram günü yerli şirkətlərin məhsulları və nailiyyətləri sərgilənir. Məqsəd həm satış, həm də ictimai maraq yaratmaqdır. Bu hansı növdür?",Topdansatış yarmarkası,İxtisaslaşdırılmış sərgi,Daimi ekspozisiya,Milli sərgi,Beynəlxalq sərgi,d
57,Avropa ölkələrindən bir neçə şirkət yeni texnologiyalarını təqdim etmək üçün Bakıda bir sərgi təşkil edir. Məqsəd məhsulların nümayişi və ölkələrarası əlaqələrin qurulmasıdır. Bu sərgi növü hansıdır?,Milli sərgi,İxtisaslaşdırılmış sərgi,Beynəlxalq sərgi,Topdansatış yarmarkası,Daimi ekspozisiya,c
58,Reklam vasitəsi olan Sərginin hansı növləri var. Biri səhv göstərilmişdir.,"telereklam, radio reklamı, prezentasiya, topdansatış,ixtisaslaşdırılmış","Prezentasiya, Press­konfrans, Simpozium, daimi fəaliyyət göstərən ekspozisiyalar","ixtisaslaşdırılmış, daimi fəaliyyət göstərən ekspozisiyalar, radio reklamı","Press­konfrans, beynəlxalq, milli, topdansatış, telereklam","beynəlxalq, milli, topdansatış,ixtisaslaşdırılmış, daimi fəaliyyət göstərən ekspozisiyalar",e
59,"Kommersiya xarakterlidir, əsas məqsədi ticarət sövdələşmələrinin bağlanmasıdır. Söhbət hansı reklam vasitəsindən gedir.",Sərgi,Prezentasiya,Radio reklamı,Telereklam,Yarmarka,e
60,"Şirkət ictimaiyyətlə əlaqələrini gücləndirmək üçün layihəsini media və sosial şəbəkə vasitəsilə təqdim edir, məqsəd satışdan çox şirkətə qarşı müsbət imic yaratmaqdır. Hansı üsuldur?",Telereklam,Prezentasiya,Sərgi və yarmarka,Pablik rileyşnz tədbirləri,Radio reklamı,d
61,"Məhsul təqdimatı zamanı şirkət məhsulu nümayiş etdirir, iştirakçılara əyani məlumat verir, lakin yalnız hədəf auditoriyaya yönəlir. Hansı üsuldur?",Simpozium,Telereklam,Radio süjet,Prezentasiya,Pablik rileyşnz,d
62,"Yerli kompüter istehsalçısı məhsullarını tanıtmaq üçün 10 dəqiqəlik radio reportaj hazırlayır, müəyyən bölgədə məhsulların üstünlükləri izah olunur. Hansı reklam vasitəsi istifadə olunub?",Telereklam,Slayd–film,Prezentasiya,Radio reklamı,Simpozium,d
63,Şirkət yeni layihəsini elan etmək üçün jurnalistlərə sual­cavab sessiyası ilə məlumat verir. Hansı PR tədbiri təşkil olunub?,Simpozium,Beynəlxalq sərgi,Topdansatış yarmarkası,Radio jurnalı,Press­konfrans,e
64,"Telefon şirkəti yeni modelini geniş auditoriyaya vizual təqdim edir, mərasimdə məhsul nümayiş olunur, iştirakçılar həm də məhsulla tanış olurlar. Bu hansı üsuldur?",Radio süjet,Press­konfrans,Telereklam,Prezentasiya,Milli sərgi,d
65,Enerji şirkəti yeni davamlı enerji layihəsini təqdim etmək üçün ixtisaslaşmış müzakirə təşkil edir və yalnız mütəxəssislər və maraqlı tərəflər iştirak edir. Bu tədbir hansı reklam/PR vasitəsinə aiddir?,Telereklam,Press­konfrans,Radio reklam,Topdansatış yarmarkası,Simpozium,e
66,Yerli kompüter mağazası yeni laptop modelinin satışa çıxması haqqında qısa video yayımlayır. Bu hansı reklam növlərinə aid ola bilər,Reklam rolikləri və Reklam videoekspressinformasiya,Reklam–mexaniki filmlər və Slayd–filmlər,Reklam–mexaniki filmlər və Reklam–prestij filmləri,Reklam videoekspressinformasiya və Slayd–filmlər,Reklam rolikləri və Reklam–prestij filmləri,a
67,Uyğunluğu müəyyən edin. 1.Reklam rolikləri 2.Reklam–mexaniki filmlər 3.Reklam–prestij filmləri 4.Reklam videoekspressinformasiya a.Siemens şirkəti yeni transformatorların texniki xüsusiyyətlərini izah edən 15 dəqiqəlik film çəkir b.McDonald’s yeni menyu məhsulu haqqında qısa video hazırlayır və sosial şəbəkələrdə paylaşır c.Apple şirkəti öz yeni ofis binasını və məhsul portfelini 12 dəqiqəlik film ilə təqdim edir d.Starbucks yeni qəhvə növünü 20 saniyəlik televiziya çarxında təqdim edir,"1­a, 2­c,3­b,4­d","1­d, 2­c,3­a, 4­b","1­a, 2­b,3­c,4­d","1­d, 2­a,3­c, 4­b","1­c, 2­b,3­a, 4­d",d
68,"Tikinti materialları şirkəti diapozitivlərdən ibarət təqdimat hazırlayır, hər bölmə xüsusi fonoqramla müşayiət olunur və məhsul çeşidlərini nümayiş etdirir. Hansı reklam növü istifadə olunur?",Reklam rolikləri,Reklam videoekspressinformasiya,Reklam–mexaniki filmlər,Slayd–filmlər,Reklam–prestij filmləri,d
69,"Yeni açılmış restoran qısa video çarx hazırlayır ki, müəssisə və məhsullar haqqında sürətli məlumat versin. Hansı reklam növü istifadə olunur?",Reklam–mexaniki filmlər,Slayd–filmlər,Reklam rolikləri,Reklam–prestij filmləri,Reklam videoekspressinformasiya,e
70,Avtomobil istehsalçısı şirkətinin nailiyyətlərini və fəaliyyətini göstərmək üçün 15 dəqiqəlik film çəkir. Hansı reklam növü istifadə olunur?,Reklam rolikləri,Slayd–filmlər,Reklam videoekspressinformasiya,Reklam–prestij filmləri,Reklam–mexaniki filmlər,d
71,Sənaye müəssisəsi öz metal emal avadanlığının texniki xüsusiyyətlərini və istifadəsini peşəkar alıcılara izah etmək üçün film hazırlayır. Hansı reklam növü istifadə olunur?,Reklam rolikləri,Slayd–filmlər,Reklam videoekspressinformasiya,Reklam–mexaniki filmlər,Reklam–prestij filmləri,d
72,"Şirkət yeni içki məhsulunu bazara çıxarır və bunu bədii filmin əvvəlində qısa, yaddaqalan şəkildə təqdim etmək istəyir. Hansı reklam növü istifadə olunur?",Reklam–mexaniki filmlər,Reklam rolikləri,Reklam videoekspressinformasiya,Reklam–prestij filmləri,Slayd–filmlər,b
73,"Hansı Reklam kinofilmlərinin növləri bəzən multiplikasiya (cizgi filmləri), kompüter qrafikası və kino oyunları formasında da hazırlanır.",Reklam rolikləri və  Reklam–prestij filmləri,Reklam–mexaniki və Reklam videoekspressinformasiya,Reklam videoekspressinformasiya və Slayd–filmlər,Reklam–mexaniki və reklam–prestij filmləri,Slayd–filmlər və Reklam rolikləri,d
74,Rəng diapozitiv filmin əsas xüsusiyyəti hansıdır?,Qara­ağ təsvir verir,Təkcə çap üçün istifadə olunur,Birbaşa neqativ təsvir yaradır,Yalnız internet üçün nəzərdə tutulub,Birbaşa pozitiv təsvir yaradır,e
75,"“Yeni Samsung telefonu indi satışda, endirim fürsətini qaçırmayın!” – bu hansı reklam növüdür?",Fərdi elan,Xəbər,Topdan reklamı,İctimai reklam,İstehsalçı reklamı,e
76,Hansı reklam proqramında avtomatik dəyişən rəngli diapozitivlər və xüsusi fonoqram istifadə olunur?,Reklam–prestij filmləri,Reklam–mexaniki filmlər,Videoekspressinformasiya,Slayd–filmlər,Reklam rolikləri,d
77,"Hansı reklam növü videoreklamın operativ və xüsusi bir növü olub, Müəyyən bir hadisə, yenilik və ya məhsulun yaranması haqqında qısa videoşərhdir.",Reklam rolikləri,Reklam–mexaniki filmlər,Reklam videoekspressinformasiya,Reklam–prestij filmləri,Slayd–filmlər,c
78,"Bu filmlərdə istehsalçı firmanın fəaliyyəti, nailiyyətləri, məhsul və xidmətləri təqdim olunur və müddəti adətən 10–20 dəqiqə, bəzən daha uzun olur. Bu hansı reklam forması?",Reklam rolikləri,Reklam–mexaniki filmlər,Slayd–filmlər,Videoekspressinformasiya,Reklam–prestij filmləri,e
79,Bu növ reklam filmləri daha çox istehsal və sənaye sahəsi üçün istifadə olunur və müddəti: 5–20 dəqiqədir. Bu hansı reklam forması?,Videoekspressinformasiya,Slayd–filmlər,Reklam–prestij filmləri,Reklam rolikləri,Reklam–mexaniki filmlər.,e
80,Müddəti 15 saniyədən bir neçə dəqiqəyə qədərdir. Əsasən bədii filmlərin və verilişlərin əvvəlində nümayiş olunur. Geniş istehlakçı kütləsi üçün nəzərdə tutulur. Bu hansı reklam forması?,Reklam videoekspressinformasiya,Slayd–filmlər,Reklam–mexaniki filmlər,Reklam–prestij filmləri,Reklam rolikləri,e
81,Hansı reklam vasitəsinin üstünlükləri “seçicilik və münasib xərclə” bağlıdır?,Mətbuat,Xarici reklam,Ünvanlı poçt,Radio,Televiziya,c
82,"Hansının əsas qüsuru “qısaömürlü təsir, vizual imkanların məhdudluğu”dur?",Radio,Xarici reklam,Ünvanlı poçt,Mətbuat (qəzet və jurnallar),Televiziya,d
83,Bir supermarket yeni endirim kampaniyasını yerli qəzet və radio vasitəsilə elan edir. Məqsəd: alıcıları konkret mağazaya cəlb etmək və məhsulları almağa həvəsləndirməkdir.Bu hansı reklam növüdür?,İstehsalçı reklamı,Müdafiə reklamı,Fərdi şəxslər reklamı,Topdan və pərakəndə ticarətçilərin reklamı,İnstitusional reklam,d
84,Bir içki şirkəti öz markasının bütün standartlara cavab verdiyini göstərən reklam elanını yayımlayır. Məqsəd: istehlakçılarda şirkətə qarşı etibar yaratmaq və mənfi xəbərlərin təsirini azaltmaqdır. Bu hansı reklam formasıdır?,Məhsul reklamı,Rəqabət reklamı,Xatırladıcı reklam,Müdafiə reklamı,İnstitusional reklam,d
85,Reklam vasitələrinin seçimi zamanı hansı sual əsas deyil?,Reklam nə qədər tez­tez göstərilməlidir?,Reklam hansı vasitələrlə yayımlanacaq?,Reklamın auditoriyaya təsiri necə olmalıdır?,Reklamın məhsul reklamı olub­olmaması,Reklam neçə nəfəri əhatə etməlidir?,d
86,Bədii­redaksiya şurası və qiymət komissiyasının yaradılması əsasən hansı məqsədə xidmət edir?,Reklam xərclərinin planlaşdırılmasını sürətləndirmək,Reklamverənlə KİV arasında münasibətləri tənzimləmək,Reklam agentliyinin maliyyə fəaliyyətinə nəzarət etmək,Reklam məhsulunun bədii­peşəkar səviyyəsini yüksəltmək və müəllifləri stimullaşdırmaq,Reklam obyektinin seçimini sadələşdirmək,d
87,Sayca az olan reklam şöbələrində ştatdankənar mütəxəssislərdən istifadənin daha əlverişli hesab olunmasının əsas səbəbi nədir?,Maliyyə xərclərinin tam aradan qaldırılması,Reklam agentliyinin yaradıcı fəaliyyətinin məhdud olması,Yüksək peşəkarlığın daha çevik və səmərəli cəlb edilməsi imkanı,Reklamverənin məsuliyyətinin azalması,Reklam məhsullarının standartlaşdırılması,c
88,İstehlak mallarının reklamında əsas diqqət hansı istiqamətə yönəlir?,Firmanın imicinə və nüfuzuna,Yeni məhsulun bazara çıxışına,Satış həcminin qorunmasına,"Məhsulun istifadə şəraitinə, emosional təsirinə və həyat tərzinə",Rəqiblərin məhsullarına qarşı müqayisəyə,d
