question_id,question_text,option_a,option_b,option_c,option_d,option_e,correct_answer_id
40,IPSec və SSL VPN arasındakı əsas fərq nədir?,"IPSec yalnız kabellə işləyir","SSL şəbəkə kartıdır","Heç biri şifrələmə etməz","Hər ikisi eyni şeydir","IPSec daha çox şəbəkə səviyyəsində, SSL isə tətbiqi səviyyəsində istifadə olunur",e
41,Tunnel və transport mode arasındakı fərq nədir?,"Trafikin bir neçə resurs arasında bərabər paylanmasını və xidmətin mövcudluğunu artırır","Heç biri şəbəkəni qoruyur","Tunnel paketləri tamamilə kapsullaşdırır; transport isə yalnız yük göndərir","Transport daha təhlükəsizdir həmişə","Tunnel yalnız bir protokoldur",c
42,Load balancing nəyi təmin edir?,"Heç biri","Parolları paylayır","Trafikin bir neçə resurs arasında bərabər paylanmasını və xidmətin mövcudluğunu artırır","Yalnız serverlərin enerji sərfiyyatını azaldır","Məlumatı şifrələyir",c
43,Active/Active ilə Active/Standby arasındakı əsas fərq nədir?,"Biri yalnız lokaldır","Heç biri şəbəkə ilə bağlı deyil","Active/Active iki və ya daha çox aktiv nüsxə ilə işləyir, Active/Standby isə ehtiyat nüsxə saxlayır","Active/Standby daha sürətlidir həmişə","Active/Active heç vaxt istifadə edilmir",c
44,MITM hücumu nə deməkdir?,"İnsanları aldadaraq məlumat və ya giriş əldə etmək","Parolun gücləndirilməsi","Hücumçunun iki tərəf arasındakı kommunikasiya axınına müdaxilə etməsi və məlumatı ələ keçirməsi","Lokal şəbəkədə trafik yönləndirmək üçün ARP cədvəlini manipulyasiya etmək","Fiziki kabellərin kəsilməsi",c
45,ARP spoofing nə üçün istifadə edilir?,"İnsanları aldadaraq məlumat və ya giriş əldə etmək","Etibarlı domenin səhv IP-yə yönləndirilməsi ilə istifadəçini zərərli sayta yönəltmək","Router konfiqurasiyasını təmizləmək","Hücumçunun iki tərəf arasındakı kommunikasiya axınına müdaxilə etməsi və məlumatı ələ keçirməsi","Lokal şəbəkədə trafik yönləndirmək üçün ARP cədvəlini manipulyasiya etmək",e
46,DNS poisoning nəyi həyata keçirir?,"Hücumçunun iki tərəf arasındakı kommunikasiya axınına müdaxilə etməsi və məlumatı ələ keçirməsi","Lokal şəbəkədə trafik yönləndirmək üçün ARP cədvəlini manipulyasiya etmək","İnsanları aldadaraq məlumat və ya giriş əldə etmək","Hücumçunun istifadəçiləri saxta simsiz nöqtəyə qoşdurması vasitəsilə məlumat oğurlanması üçün qurduğu AP","Etibarlı domenin səhv IP-yə yönləndirilməsi ilə istifadəçini zərərli sayta yönəltmək",e
47,Fake AP (saxta access point) nədir?,"Hücumçunun iki tərəf arasındakı kommunikasiya axınına müdaxilə etməsi və məlumatı ələ keçirməsi","Lokal şəbəkədə trafik yönləndirmək üçün ARP cədvəlini manipulyasiya etmək","İnsanları aldadaraq məlumat və ya giriş əldə etmək","Hücumçunun istifadəçiləri saxta simsiz nöqtəyə qoşdurması vasitəsilə məlumat oğurlanması üçün qurduğu AP","Etibarlı domenin səhv IP-yə yönləndirilməsi ilə istifadəçini zərərli sayta yönəltmək",d
48,Windows sistemində patch management nəyi əhatə edir?,"Yalnız istifadəçilərin xəbərdar edilməsidir","Fiziki serverin söndürülməsi","Yalnız proqramların silinməsi","Yeniləmələrin planlanması, test edilməsi və tətbiqi","Heç biri",d
49,Parol siyasətinin elementi ola biləcək nədir?,"Parollar heç vaxt dəyişdirilməməlidir","Parollar yalnız yazılı saxlanmalıdır","Hər şifrə eyni olmalıdır","Minimal uzunluq və mürəkkəblik tələbləri","Heç biri",d
50,MFA (Multi-Factor Authentication) nəyi təmin edir?,"Heç biri","İstifadəçini bir neçə fərqli identifikasiya amili ilə təsdiqləyir","Heç bir təhlükəsizlik qatını əlavə etmir","Şəbəkə sürətini artırır","Yalnız parolu daha uzun edir",b
51,Input validation nə üçün vacibdir?,"Tətbiq zəifliklərini azaltmaq üçün istifadəçi daxilolmalarını yoxlamaq","Yalnız interfeysi gözəlləşdirmək üçün","Məlumatları şifrələmək üçün","Şəbəkə cihazlarını konfiqurasiya etmək üçün","Parametrizə edilmiş sorğular və input validation tətbiq etmək",a
52,SQL Injection hücumundan qorunmaq üçün nə etmək lazımdır?,"Tətbiq zəifliklərini azaltmaq üçün istifadəçi daxilolmalarını yoxlamaq","Firewall avtomatik olaraq bloklayar","Parametrizə edilmiş sorğular və input validation tətbiq etmək","","",c
53,XSS (Cross-Site Scripting) hansı ziyanı verə bilər?,"Fiziki serverin yanması","Veb səhifədə zərərli skriptlərin yeridilməsi ilə istifadəçi sessiyalarının oğurlanması və məlumatların sızması","Yalnız şəbəkə kartı ilə bağlı problem","Məlumatın avtomatik yedəklənməsi","İstifadəçinin sessiyasından istifadə edərək arka planda zərərli əmrlər göndərmək",b
54,CSRF (Cross-Site Request Forgery) hücumu necə işləyir?,"Heç biri","Yalnız faylları silir","Şəbəkə cihazlarını yeniləyir","Məlumatı şifrələyir və tələb edir","İstifadəçinin sessiyasından istifadə edərək arka planda zərərli əmrlər göndərmək",e
55,OWASP Top 10 nə üçündür?,"Veb tətbiq zəifliklərinin ən çox rastlanan kateqoriyalarının siyahısı","Heç biri","Antivirus siyahısı","Proqramın versiya nömrəsi","Şəbəkə avadanlığı standartı",a
56,Sistem hardening nəyi nəzərdə tutur?,"RDP üçün güclü parol və IP məhdudiyyəti tətbiq etmək","Gecikmələri artırmaq","Bütün istifadəçilərə admin hüquqları vermək","Sistem performansını zəiflətmək","Lazımsız servislərin söndürülməsi, güclü konfiqurasiyaların tətbiqi və təhlükəsizlik tədbirləri",e
57,Windows hardening üçün nümunə tədbir hansıdır?,"Hər kəsə UAC söndürmək icazəsi vermək","RDP üçün güclü parol və IP məhdudiyyəti tətbiq etmək","Bütün servisləri aktiv saxlamaq","Administrator şifrəsini default etmək","Lazımsız servislərin söndürülməsi, güclü konfiqurasiyaların tətbiqi və təhlükəsizlik tədbirləri",e
58,Linux hardening üçün tipik addım nədir?,"Heç biri","Paket menecerini deaktiv etmək","Firewall-u söndürmək","SSH üçün root login-i qadağan etmək və güclü autentifikasiya tətbiq etmək","",d
59,Antivirus və EDR arasındakı əsas fərq nədir?,"Antivirus ənənəvi imza əsaslı skan edir, EDR davranış əsaslı aşkarlama və geniş monitorinq təmin edir","EDR yalnız faylları silir","Antivirus hər şeyi bloklayır və monitorinq etmir","Hər ikisi eyni funksiyaya malikdir","Heç biri",a
60,Davranış əsaslı aşkarlama nəyi tapmağa kömək edir?,"Parolları bərpa edir","Şəbəkə kabelini test edir","Yalnız məlum virus imzalarını tapır","Tanınmamış və sıxılmamış zərərli fəaliyyət nümunələrini aşkar etməyə","Heç biri",d
61,Risklərin idarə edilməsində hansı yanaşma qalıq riskini qəbul etməyi nəzərdə tutur?,"Riskin tam məhv edilməsi","Riskin hər zaman transfer edilməsi","Yalnız mərkəzləşdirilmiş idarəetmə","Heç biri","Müəyyən edilmiş risk üçün heç bir əlavə nəzarət tətbiq etməməyi seçmək",e
62,ISO/IEC 27001 üzrə auditi keçirmək üçün təşkilat nə etməlidir?,"Heç biri","Bütün istifadəçiləri məcburi təlimə göndərməmək","Şəbəkəni söndürmək","Yalnız antivirus quraşdırmaq","İSİS (ISMS) qurmaq və sənədləşdirmək",e
63,Chain of custody nə üçün vacibdir?,"Forensik sübutların mənbəyi və müdaxilə tərki qorunması üçün, məhkəmə qəbul edilə bilən sübut üçün","Faylları yalnız şifrələmək üçün","Backup strategiyasıdır","İT menecerinin iş qrafiki","Bütün istifadəçiləri məcburi təlimə göndərmək",a
64,Router nə üçün istifadə olunur?,"Lokal şəbəkədə trafik ötürmək üçün istifadə olunur, lakin fərqli məqsədlə","IP ünvanları təyin etmək və NAT etmək üçün istifadə olunur","Şəbəkə seqmentlərini ayırmaq üçün tətbiq olunur","VLAN-lar arasında paketləri yönləndirmək üçün istifadə olunur","Müxtəlif şəbəkələri birləşdirmək üçün",e
65,Switch hansı səviyyədə işləyir?,"Frame-lərin çatdırılmasını idarə etmək üçün istifadə olunur","Lokal şəbəkədə əlaqə sürətini optimallaşdırır","VLAN-ları idarə edərək trafik ayrımını təmin edir","MAC ünvanları əsasında çərçivələri yönləndirir","Data Link",e
66,Modem nə üçün lazımdır?,"Rəqəmsal siqnalları analoq siqnallara və əksinə çevirir","Şəbəkəni seqmentləşdirir","Firewall rolunu oynayır","Lokal şəbəkədə trafik ötürür","Serveri qoruyur",a
67,Access point nə iş görür?,"Rəqəmsal siqnalları analoq siqnallara və əksinə çevirir","Antivirus rolunu oynayır","Firewall-u konfiqurasiya edir","Routeri əvəz edir","Simsiz cihazların şəbəkəyə qoşulmasını təmin edir",e
68,LAN nə deməkdir?,"Local Area Network","Heç biri","Yalnız router şəbəkəsi","Şəbəkə kabelləri","Yalnız serverlər",a
69,WAN nədir?,"Heç biri","Antivirus","Wide Area Network","Yalnız ofis daxili şəbəkə","Firewall",c
70,WLAN nəyi ifadə edir?,"Wide Area Network","Virtual Local Area Network","Wireless Local Area Network","Kabel şəbəkəsi","Server tipli şəbəkə",c
71,Şəbəkə təhlükəsizliyi nəyi təmin edir?,"Heç biri","Parolu gücləndirir","Məlumatın məxfilik, bütövlük və mövcudluğunu qoruyur","Yalnız şəbəkə sürətini artırır","Faylları sıxır",c
72,Seqmentasiya nə üçündür?,"Heç biri","Şəbəkə sürətini artırmaq","Şəbəkəni təhlükəsizlik zonalarına ayırmaq","Proqram yazmaq","Faylları yedəkləmək",c
73,VLAN nədir?,"Wireless Local Area Network","Wide Area Network","Virtual Local Area Network","Router modeli","Firewall proqramı",c
74,Firewall nədir?,"Heç biri","Server","Şəbəkə trafikini qaydalara görə nəzarət edən cihaz və ya proqram","Rəqəmsal kabel","Proqram təminatı",c
75,Stateless firewall necə işləyir?,"Bağlantının vəziyyətini izləyir və qərar verir","Məlumatları yedəkləyir","Paketləri ayrı-ayrılıqda yoxlayır, vəziyyəti saxlamır","Bağlantıları izləyir","Parolları şifrələyir",c
76,Stateful firewall necə işləyir?,"Paketləri ayrı-ayrılıqda yoxlayır, vəziyyəti saxlamır","Routeri əvəz edir","Bağlantının vəziyyətini izləyir və qərar verir","Faylları sıxır","Switch funksiyası görür",c
77,Şəbəkə səviyyəli firewall hansı səviyyədə işləyir?,"Heç biri","Layer 2 - MAC əsaslı","Layer 3/4 - IP və port əsaslı filtrasiya","Layer 7 - tətbiq səviyyəsi","Layer 1 - fiziki",c
78,Tətbiq səviyyəli firewall nə edir?,"Heç biri","Fiziki təhlükəsizlik təmin edir","HTTP, FTP və digər protokolların analizini həyata keçirir","Yalnız IP ünvanlarını yoxlayır","Router konfiqurasiyası edir",c
79,ACL (Access Control List) nədir?,"HTTP, FTP və digər protokolların analizini həyata keçirir","Router konfiqurasiyası","Resurslara kimlərin giriş edə biləcəyini müəyyən edən siyahı","Layer 3/4 - IP və port əsaslı filtrasiya","Firewall modeli",c
80,Permit ACL-də nəyi göstərir?,"Hər şeyi qadağan edir","Müəyyən ünvanın və ya istifadəçinin resursa girişinə icazə verir","Şifrə tələb edir","Faylları silir","HTTP, FTP və digər protokolların analizini həyata keçirir",b
81,Deny ACL-də nəyi göstərir?,"Müəyyən ünvanın və ya istifadəçinin resursa girişinə icazə verir","Antivirus rolunu oynayır","Girişin qadağan edildiyini","Şəbəkəni sürətləndirir","Firewall-u söndürür",c
82,IDS nə edir?,"Müəyyən ünvanın və ya istifadəçinin resursa girişinə icazə verir","Parolları dəyişir","Faylları yedəkləyir","Hücumu bloklayır","Şəbəkədə hücumları aşkar edir, xəbərdarlıq yaradır",e
83,NIDS nədir?,"Heç biri","Firewall","Network-based IDS","Host-based IDS","Antivirus",c
84,HIDS nədir?,"Heç biri","Switch","Host-based IDS","Şəbəkə kabeli","Router",c
85,IPS nə edir?,"Şəbəkə üzərindən şifrələnmiş təhlükəsiz tunel","Faylları sıxır","Aşkarlanan hücumu bloklayır və qarşısını alır","Yalnız jurnal yaradır","Routeri söndürür",c
86,VPN nədir?,"Heç biri","Fiziki firewall","Şəbəkə üzərindən şifrələnmiş təhlükəsiz tunel","Antivirus proqramıdır","Switch növü",c
87,IPSec hansı məqsədlə istifadə olunur?,"Heç biri","Server konfiqurasiyası","Şəbəkə səviyyəsində şifrələmə və autentifikasiya","Parol meneceri","Fiziki switch",c
88,SSL VPN nə üçün istifadə olunur?,"Heç biri","Firewall söndürür","Tətbiq səviyyəsində təhlükəsiz şəbəkə bağlantısı","Router sürətini artırır","Switch konfiqurasiyası",c
89,Load balancing nə üçündür?,"Heç biri","Parolları dəyişir","Trafikin resurslar arasında bərabər paylanması və xidmətin mövcudluğunu artırmaq","Yalnız server sürətini artırır","Şəbəkəni söndürür",c
90,Active/Active nə deməkdir?,"Heç biri","Switch konfiqurasiyası","İki və ya daha çox aktiv serverin eyni vaxtda işləməsi","Yalnız bir server işləyir","Firewall rejimi",c
91,Active/Standby nə deməkdir?,"Heç biri","Router növü","Bir server aktiv, digəri ehtiyatda","Hər iki server işləyir","Firewall tipi",c
92,MITM hücumu nədir?,"Heç biri","Antivirus müdaxiləsi","Hücumçunun iki tərəf arasındakı əlaqəyə müdaxilə etməsi","Yalnız server qəzasıdır","Fiziki kabel qırılması",c
93,ARP spoofing nədir?,"Heç biri","Routeri söndürmək","ARP cədvəlini manipulyasiya edərək trafiki yönləndirmək","Faylları yedəkləmək","",c
94,DNS poisoning nəyi ifadə edir?,"Heç biri","Antivirus proqramı","Etibarlı domeni səhv IP-yə yönləndirmək","DNS serveri sürətləndirmək","Switch konfiqurasiyası",c
95,Fake AP nədir?,"Heç biri","Firewall cihazı","Hücumçunun istifadəçiləri saxta simsiz şəbəkəyə qoşdurması","Fiziki router","Şəbəkə kabelləri",c
96,Şəbəkə hücum vektorlarına nümunə hansıdır?,"Heç biri","Kabel dəyişmək","Phishing, malware, DoS/DDoS","Antivirus quraşdırmaq","Firewall konfiqurasiyası",c
97,DoS hücumu nəyi hədəfləyir?,"Heç biri","Parolları gücləndirmək","Xidmətin əlçatanlığını pozmaq","Məlumat şifrələmək","Server sürətini artırmaq",c
98,DDoS hücumu nədir?,"Heç biri","Router söndürmək","Çoxlu mənbədən eyni vaxtda hücum edərək xidmətin pozulması","Yalnız lokal server hücumu","Switch konfiqurasiyası",c
99,Şəbəkə təhdidlərinin qarşısını almağın əsas üsulu nədir?,"Heç biri","Kabelləri yedəkləmək","Firewall, IDS/IPS, VPN və seqmentasiya tətbiq etmək","Yalnız parolları dəyişmək","Serverləri söndürmək",c
100,VLAN seqmentasiyası nəyi təmin edir?,"Heç biri","Firewall söndürülməsi","Trafikin məntiqi bölmələrə ayrılması və təhlükəsizlik artırılması","Faylların sıxılması","Parol gücləndirməsi",c
101,Şəbəkədə seqmentasiya niyə vacibdir?,"Heç biri","Routeri söndürmək","Hücum səthini azaltmaq və təhdidləri məhdudlaşdırmaq üçün","Server sürətini artırmaq","Switch funksiyası",c
102,Stateless vs Stateful firewall arasındakı əsas fərq nədir?,"Hər ikisi eyni","Heç biri","Stateful vəziyyəti izləyir, stateless isə paketləri ayrı-ayrılıqda yoxlayır","Stateless daha güclüdür","Stateful istifadə edilmir",c
103,IPS fərqi IDS-dən nədir?,"Heç biri","Hər ikisi aşkarlayır","IPS aşkarlayır və bloklayır, IDS yalnız aşkarlayır","IDS bloklayır, IPS aşkarlayır","Hər ikisi bloklayır",c
104,VPN tunnel və transport mode arasındakı fərq nədir?,"Heç biri","Transport tunnel əvəz edir","Biri şəbəkəni sürətləndirir","Hər ikisi eyni","Tunnel bütün paketi kapsullaşdırır, transport yalnız yük göndərir",e
105,IPSec hansı səviyyədə işləyir?,"Heç biri","MAC səviyyəsi","Şəbəkə səviyyəsində","Fiziki səviyyə","Tətbiq səviyyəsi",c
106,SSL VPN hansı səviyyədə işləyir?,"Heç biri","MAC səviyyəsi","Tətbiq səviyyəsi","Fiziki səviyyə","Şəbəkə səviyyəsi",c
107,Network Access Control (NAC) nədir?,"Heç biri","Antivirus","Firewall","Parol meneceri","Şəbəkəyə qoşulan cihazların təhlükəsizlik vəziyyətini yoxlayan sistem",e
108,Router konfiqurasiyasında əsas təhlükəsizlik tədbiri hansıdır?,"Heç biri","Parolu default saxlamaq","Firewall söndürmək","Hər kəsə admin hüququ","Güclü admin parolu və uzaqdan girişin məhdudlaşdırılması",e
109,Switch port security nə üçündür?,"Şəbəkəni sürətləndirmək","MAC ünvanları əsasında girişin məhdudlaşdırılması","Parolları saxlamaq","Firewall söndürmək","Heç biri",b
110,SNMP təhlükəsizliyi niyə vacibdir?,"Şəbəkə cihazlarının idarə olunmasını qorumaq üçün","Yalnız faylları şifrələmək","Antivirus proqramı","Switch funksiyası","Heç biri",a
111,Wi-Fi təhlükəsizlik standartı hansıdır?,"WPA3","Heç biri","SMTP","HTTP","FTP",a
112,MAC ünvan spoofing nədir?,"Heç biri","Switch konfiqurasiyası","Cihazın MAC ünvanını dəyişdirərək icazəsiz giriş əldə etmək","Parol dəyişmək","Firewall söndürmək",c
113,DHCP spoofing nəyi hədəfləyir?,"Heç biri","Router söndürmək","Saxta DHCP server yaradaraq istifadəçiləri yönləndirmək","Şəbəkə sürətini artırmaq","Parolları gücləndirmək",c
