question_id,question_text,option_a,option_b,option_c,option_d,option_e,correct_answer_id
39,Aşağıdakı əlamətlərdən hansı emal sənayesinə aid deyil?,əmək predmetlərinin istehlak xassələrində dəyişikliklər baş verir,Əmək predmetlərini təbiətdən olduğu kimi  xassələrini dəyişmədən əldə edir,"əmək predmetləri müəyyən fiziki, mexzniki, kimyəvi və başqa üsullarla emal olunur",xammal və materiallar yeni istehlak dəyərlərinə çevrilir,xammal və materiallar emal prosesindən keçir,b
40,Emal sənayesinin aşağıdakı sahələrindən hansında məhsul istehsalında kimya texnologiyalarından geniş istifadə olunmur?,Tikiş sənayesi,kimya sənayesi,tikinti sənayesi,yeyinti sənayesi,metallurgiya,a
41,Sənaye müəssisələrinin mülkiyyət mənsubiyyəti əlaməti üzrə təsnifləşdirilməsi zamanı aşağıdakıların hansından istifadə edilmir?,qarışıq (birgə) mülkiyyət,Təşkilati-hüquqi mülkiyyət,kooperativ mülkiyyət,dövlət mülkiyyəti,özəl (xüsusi) mülkiyyət,b
42,Aşağıdakılardan hansı qeyri-dövlət mülkiyyəti hesab olunmur?,kooperativlər,tam xarici investisiyalı xüsusi müəssisələr,birgə investisiyalı xüsusi müəssisələr,tam yerli investisiyalı xüsusi (özəl) müəssisələr,Bələdiyyə müəssisələri,e
43,İkinci sənaye çevrilişi hansı dövrü əhatə edir?,XIX əsrin əsrin sonu və XX əsrin əvvəllərini,XVIII əsrin 70-ci illərindən XX əsrin 70-ci illərinədək olan dövrü,XVIII əsrin 70-ci illərindən XIX əsrin 70-ci illərinədək olan dövrü,XIX əsrin 70-ci illərindən XX əsrin 30-cu illərinədək olan dövrü,XIX əsrin 70-ci illərindən XX əsrin 70-ci illərinədək olan dövrü,e
44,Ölkə iqtisadiyyatında sənayenin rolunu qiymətləndirmək üçün bu göstəricilərin hansından istifadə edilmir?,əlavə dəyərdə sənayenin payı,ümumi məşğul əhalidə sənayedə çalışanların xüsusi çəkisi,ÜDM-də sənayenin payı,Məhsulun maya dəyəri,il ərzində ölkədə əldə edilmiş xalis mənfəətdə sənayenin payı,d
45,Azərbaycanın Əlvan metal filizlərinin ehtiyatları əsasən hansı ərazilərdə yerləşir?,Naxçıvan MR-da,Daşkəsən qrupu yataqlarında,Kəlbəcər-Laçın filiz rayonlarında,"Balakən-Zaqatala, Gədəbəy və Ordubad filiz rayonlarında",Abşeron ərazisində,d
46,"Qızılbulaq, Vejnəli və Zod (Söyüdlü) yataqlarının əsas filiz ehtiyatı hansıdır?",mis,dəmir filizi,Qızıl,gümüş,alüminium,c
47,Daşkəsən Zəylik yatağının əsas filiz ehtiyatı nədir?,dəmir filizi,molibden,xromit filizi,Alüminium,qızıl,d
48,SSRİ vaxtı Daşkəsəndən çıxarılan dəmir filizi ehtiyatları saflaşdırıldıqdan sonra hansı metallurgiya kombinatına göndərilirdi?,Sumqayıt Metallurgiya Kombinatına,Gəncə Metallurgiya Kombinatına,Şimali Qafqaz Metallurgiya Kombinatına,Gürcüstanın Rustavi Metallurgiya Kombinatına!,Kiyev Metallurgiya Kombinatına,d
49,Aşağıdakı qeyri-filiz faydalı qazıntı ehtiyatlarının hansından Azərbaycanda var?,bentonit gilləri,gips və anhidrid yataqları,daşduz ehtiyatları,Bunların hamısı,tikinti materialları,d
50,Azərbaycanda ən böyük daşduz yataqları harada yerləşir?,Qafqaz sıra dağlarında,Abşeronda,Siyəzəndə,Qaradağda,Naxçıvan MR-da,e
51,Ölkəmizdə daha böyük neft-qaz-kondensant yataqları hansı rayonlarda yerləşir?,Naxçıvan,Aşağı Qarabağ,Dağlıq Şirvan,Bakı arxipelaqları,Aran Qarabağ,d
52,Hazırda Azərbaycanda neft əsasən haradan çıxarılır?,Siyəzən yataqlarından,Qobustan zonasından,Salyan-Aşağı Kür zonasından,Abşeron yarımadasından,Xəzər dənizinin şelf zonasından,e
53,Aşağıdakı təbii ehtiyatlardan hansının emalı üzrə Azərbaycanda müəssisə (zavod) yoxdur?,sement,təbii qaz,neft,Qızıl,dəmir filizi,d
54,Geoloji ehtiyat nədir?,ilkin saflaşdırmadan keçmiş filiz ehtiyatları,emal mərhələsinə göndərilən faydalı qazıntılar,hasil edilmiş faydalı qazıntılar,Yerin təkində olan faydalı qazıntılar,artıq hasil edilməkdə olan faydalı qazıntılar,d
55,Sənaye ehtiyatları nədir?,Artıq istismar olunan (hasil edilən) və istismara hazırlanmaqda olan ehtiyatlar,yerin təkində olan faydalı qazıntılar,emal mərhələsinə göndərilən faydalı qazıntılar,hasil edilmiş faydalı qazıntılar,ilkin saflaşdırmadan keçmiş filiz ehtiyatları,a
56,Aşağıdakılardan hansı xam material hesab olunur?,Toplanmış pambıq,benzin,polad,meyvə konservi,süfrə üzümü,a
57,Hasil edilən mineralların sayına görə dünyanın lider ölkələri hansılardır?,"Rusiya, Qazaxstan və Cənubi Afrika Respublikası","ABŞ, Kanada və Avstraliya","Səudiyyə Ərəbistanı, Çin və Avstraliya","Avropa, ABŞ və Avstraliya","ABŞ, Çin və Rusiya.",e
58,Aşağıdakılardan hansı çox geniş spektrdə mineral resurslarına malik və bunlardan intensiv istifadə edən ölkələr qrupudur?,"Azərbaycan, Botsvana, Böyük Britaniya, Zair, Kazaxstan, Mərakeş, Hollandiya, Norveç, Yeni Qvineya, Polşa, Səudiyyə Ərəbistanı, Türkmənistan, Özbəkistan, Çili, Yamayka","Litva, Latviya, Estoniya, Gürcüstan, Türkiyə, Birləşmiş Ərəb Əmirlikləri, Efiopiya, Cənubi Koreya, Albaniya, tacikistan, Monqolustan","Meksika, Braziliya, İndoneziya, Hindistan, Peru, İran və Venesuela","İsveç, Finlandiya, Yunanıstan, İtaliya, Avstriya, Fransa, Almaniya, Yuqoslaviya, İspaniya,Portuqaliya və Ukrayna","Avstraliya, Kanada, Çin, Rusiya, ABŞ və Cənubi Afrika Respublikası.",e
59,"Aşağıdakılardan hansı müxtəlif növ faydalı qazıntı növlərinin böyük potensial ehtiyatlarına malik, lakin resursları dünya təsərrüfat dövriyyəinə daha az intensivliklə daxil edilmiş ölkələr qrupudur?","Avstraliya, Kanada, Çin, Rusiya, ABŞ və Cənubi Afrika Respublikası","İsveç, Finlandiya, Yunanıstan, İtaliya, Avstriya, Fransa, Almaniya, Yuqoslaviya, İspaniya, Portuqaliya və Ukrayna","Azərbaycan, Botsvana, Böyük Britaniya, Zair, Kazaxstan, Mərakeş, Hollandiya, Norveç, Yeni Qvineya, Polşa, Səudiyyə Ərəbistanı, Türkmənistan, Özbəkistan, Çili, Yamayka","Meksika, Braziliya, İndoneziya, Hindistan, Peru, İran və Venesuela.","Litva, Latviya, Estoniya, Gürcüstan, Türkiyə, Birləşmiş Ərəb Əmirlikləri, Efiopiya, Cənubi Koreya, Albaniya, tacikistan, Monqolustan",d
60,1920-ci ildə Azərbaycanda sovet hakimiyyəti elan edildikdən respublika ərazisində olan neft və başqa sənaye müəssisələrininin sonu nə oldu?,yerli sahibkarlara verildi,Milliləşdirildi,heç bir dəyişiklik baş vermədi,xarici investorlara satıldı,özəlləşdirildi,b
61,Azərbaycanda “Sənaye ili” elan olunan il hansı olub?,1994-cü il,2015-ci il,2014-cü il,2005-ci il,2010-cu il,c
62,Azərbaycan Respublikasında sənayenin inkişafına dair 2015-2020-ci illər üçün Dövlət Proqramı nə vaxt təsdiq edilib?,2014-cü ilin mayında,2015-ci ilin yanvarında,2014-cü ilin Dekabrında,2013-cü ilin dekabrında,2015-ci ilin mayında,c
63,Ölkədə sənayeləşmə prosesinin həyata keçirilməsi üçün zəruri olan inkişaf institutlarından hansı hələlik Azərbaycanda yoxdur?,informasiya texnologiyalarının inkişafı fondu,investisiyaların və ixracın stimullaşdırılması fondu,dövlət investisiya şirkəti,İxracın sığortalanması fondu,sahibkarlığa kömək fondu,d
64,Müasir dünya sənayesinin inkişafında neçə sənaye çevrilişi (sənaye inqilabı) fərqləndirilir?,6,4,2,3,5,d
65,Bunlardan hansı II sənaye çevrilişi dövründə yaranan və sürətlə inkişaf edən yeni sənaye sahəsi deyil?,avtomobilqayırma səanyesi,"rabitə və əyləncə vasitələrinin (telefon, radio, kinematograf və s.) ixtirası və geniş tətbiqi",məişət texnikasının istehsalı,aviasiya səanyesinin yaranması,Toxuculuq sənayesi,e
66,Üçüncü sənaye çevrilişi (inqilabı) nə vaxt başlayıb?,XX əsrin 50-ci illərində,XX əsrin 90-cı illərində,XX əsrin 70-ci illərində,XX əsrin sonlarında,II Dünya müharibəsindən sonra,c
67,Aşağıdakılardan hansı əsasən istehlak şeyləri istehsal edən sənaye sahələrinə aid deyil?,qida sənayesi,geyim sənayesi,Gəmiqayırma,içki sənayesi,ayaqqabı sənayesi,c
68,Yüngül sənayenin hansı məhsulu istehsal-texniki təyinat alır?,corab məmulatları,geyim məhsulları,yataq dəstləri,bütün növ parçalar,Texniki məqsədlər üçün istehsal edilən parça,e
69,Aşağıdakılardan hansı sənaye sahələrinin (müəssisələrinin) iqtisadi özünəməxsusluq əlaməti baxımından təsnifləşdirilməsi zamanı istifadə olunmur?,elmtutumluluq,əməktutumluluq,fondtutumluluq,materialtutumluluq,İstehsal təyinatlılığı,e
70,Dünyanın inkişaf etmiş ölkələrinin iqtisadi yüksəlişində rol oynayan aparıcı sahə hansı olub?,ictimai iaşə,tikinti,ticarət,Sənaye,kənd təsərrüfatı,d
71,Aşağıdakılardan hansı istehlak rayonlarına yaxın yerləşdirilən istehsal hesab olunur?,neft hasilatı,Çörəkbişirmə,dağ-mədən,şəkər çuğunduru istehsalı,sintetik kauçuk sənayesi,b
72,Aşağıdakı sənaye müəssisələrindən hansı enerji mənbələrinə yaxın rayonlarda yerləşdirilməlidir?,qara və əlvan metallurgiya müəssisələri,ilkin Aluminium istehsal edən müəssisələr;,pambıqtəmizləmə müəssisələri;,mebel istehsalı müəssisələri,neft emalı müəssisələri,b
73,Sənaye istehsalının yerləşdirməsinin hansı prinsipinə riayət olunması müəssisələrin ixtisaslaşma səviyyəsini və onların Optimal ölmüsünü müəyyən edir?,iqtisadiyyatın beynəlmilləşdirilməsi və beynəlxalq əmək bölgüsündə iştirakın zəruriliyi,İstehsalın Xammal mənbələrinə və İstehlak rayonlarına yaxınlaşdırılması,iqtisadi rayonlar arasında səmərəli əmək bölgüsü və onların təssərüfatlarının kompleks inkişafı,sənaye istehsalının ölkənin ərazi üzrə dirqərarda yerləşdirilməsi,istehsalın yaşayış yerlərindən uzaqlaşdırılması,b
74,Aşağıdakı iqtisadi-coğrafi raynlardan hansınıniqtisadi potensialından hazırda faydalana bilmirik?,Şəki-Zaqatala,Aran,Kəlbəcər-Laçın.,Abşeron,Gəncə-Qazax,c
75,Aşağıdakı iqtisadi-coğrafi rayonlardan hansı həm də inzibati-ərazi vahididir?,Aran,Şəki-Zaqatala,Lənkəran-Astara,Naxçıvan.,Gəncə-Qazax,d
76,Aşağıdakılardan hansı təşkilatlara aiddir?,qanunlar,müqavilələr,təlimatlar,Firmalar.,sazişlər,d
77,İnstitutlar nədir?,bunların hamısı,insanlar aralarındakı qarşılıqlı fəaliyyətlər üçün məhdudiyyətlərii müəyyən edən və bunları icra edən elmi-praktik xarakterli tədris müəssisələridir,insanların öz aralarındakı qarşılıqlı fəaliyyətləri üçün müəyyən etdikləri məhdudiyyətlərii yerinə yetirilməsini təmin etmək üçün yaradılmış qurumlardır,İnsanların öz aralarındakı qarşılıqlı fəaliyyətləri üçün müəyyən etdikləri məhdudiyyətləri əks etdirir.,öz aralarında ümumi maraqlarla bağlı olan fərdlər qrupundan ibarətdir,d
78,Aşağıdakılardan hansı formal məhdudiyyətlərə (institutlara) aiddir:,bunların heç biri,adət-ənənələr,vərdişlər,Müqavilələr,"yazılmamış, amma cəmiyyət üzvlərinin əməl etdikləri davranış kodeksləri",d
79,Aşağıdakılardan kimi institutsionalizmin əsas simalarından biri hesab olunur?,Milton Fridman,Maykl Porter,Con Keyns,Duqlas Nort.,Adam Smit,d
80,“Dövlət müəssisələrinin (obyektlərinin) müqavilə əsasında idarəetməyə verilməsi haqqında Əsasnamə”yə uyğun olaraq Azərbaycanda ilk dəfə özəl sektorun idarəetməsinə verilən dövlət müəssisəsi hansı olub?,“Azərenerji” ASC,“Bakelektrikşəbəkə” SC.,“Azəriqaz” QSC,Bakı Metropoliteni,SOCAR,b
81,Azərbaycanda dövlət-biznes əməkdaşlığı sahəsində indiyədək ən çox tətbiq edilən əməkdaşlıq forması hansıdır?,konsessiya sazişi,Hasilatın pay bölgüsü sazişləri.,TİT modeli,dövlət müəssisələrinin idarəetməyə verilməsi,icarə müqaviləsi,b
82,Tikinti və infrastruktur obyektləri ilə əlaqədar investisiya layihələrinin xüsusi maliyyələşmə əsasında həyata keçirilməsi haqqında Azərbaycan Respublikasının Qanununda “TİT” modelinə uyğun bağlanan müqavilələrin müddəti nə qədər müəyyən edilib?,25 il,49 ildən artıq ola bilməz.,25 il + 5 il,10 il,100 il,b
83,Aşağıdakılardan hansı sənaye istehsalının yerləşdirməsinin əsas prinsiplərinə daxil deyil?,ölkənin xarici təcavüzdən müdafiəsi və ətraf mühitin qorunması,istehsalın xammal mənbələrinə və istehlak rayonlarına yaxınlaşdırılması,iqtisadiyyatın beynəlmilləşdirilməsi və beynəlxalq əmək bölgüsündə iştirakın zəruriliyi,Xammalın olub-olmamasından asılı olmayaraq ucuz işçi qüvvəsi regionlarına üstünlük verilməsi,iqtisadi rayonlar arasında səmərəli əmək bölgüsü və onların təssərüfatlarının kompleks inkişafı,d
84,Aşağıdakılardan hansı sənaye istehsalının yerləşdirməsinin əsas prinsiplərinə daxil deyil?,iqtisadiyyatın beynəlmilləşdirilməsi və beynəlxalq əmək bölgüsündə iştirakın zəruriliyi,sənaye istehsalının ölkənin ərazisi üzrə dirqərarda yerləşdirilməsi,iqtisadi rayonlar arasında səmərəli əmək bölgüsü və onların təssərüfatlarının kompleks inkişafı,istehsalın xammal mənbələrinə və istehlak rayonlarına yaxınlaşdırılması,İstehsalın yaşayış məntəqələrindən uzaqlaşdırılması,e
85,Aşağıdakılardan hansı sənaye istehsalının yerləşdirməsinin əsas prinsiplərinə aidir?,"hərbi sənayenin üstün inkişafını təmin edən ərazilərə meyl etmə, yalnız ixrac edilə bilən məhsulların regionlar üzrə yerləşdirilməsi","İstehsalın xammal mənbələrinə və istehlak rayonlarına yaxınlaşdırılması, sənaye istehsalının ölkənin ərazisi üzrə Dirqərarda yerləşdirilməsi","ixtisassız fəhlələrin və işsizlərin az olduğu rayonlara meyletmə, xarici bazarda rəqabət apara biləcək məhsulların istehsalı, ucuz işçi qüvvəsi regionlarına üstünlük verirməsi","istehsalın yaşayış yerlərindən uzaqlaşdırılması, istehsalın ölkənin ərazisi üzrə birqərarda yerləşdirilməsi","iqtisadiyyatın beynəlmilləşdirilməsi və beynəlxalq əmək bölgüsündə iştirakın zəruriliyi, təmərküzləşmənin sürətləndirilməsi",b
86,Təkrar xammal nədir?,mineral xammalın emal məhsullarının təkrar emalından alınan materiallar,istifadə olunmuş sənaye məhsullarının tullantılarının təkrar emal olunmasından alınan məhsullar,mineral xammalın təkrar emalından alınan məhsullar,Mineral xammalın tərkibində olan və onun emalı zamanı əsas məhsulla yanaşı alınan İkinci dərəcəli məhsullar,"mineral xammalın tərkibində olmayan, lakin onun emalı zamanı əsas məhsulla yanaşı alınan ikinci dərəcəli məhsullar",d
